# File: A22.globaltech_keyword.csv
# Title: Primary energy handling keywords
# Units: NA
# Column types: cccc 
# ----------
supplysector,subsector,technology,primary.consumption
oilcrop biodiesel,oilcrop biodiesel,oilcrop biodiesel,biomass
rapeseed biodiesel,rapeseed biodiesel,rapeseed biodiesel,biomass
palmfruit biodiesel,palmfruit biodiesel,palmfruit biodiesel,biomass
soybean biodiesel,soybean biodiesel,soybean biodiesel,biomass
refining,biomass liquids,BTL with hydrogen,biomass
soybean HEFA joint,soybean HEFA joint,soybean HEFA joint high,biomass
rapeseed HEFA joint,rapeseed HEFA joint,rapeseed HEFA joint high,biomass
palmfruit HEFA joint,palmfruit HEFA joint,palmfruit HEFA joint high,biomass
oilcrop HEFA joint,oilcrop HEFA joint,oilcrop HEFA joint high,biomass
soybean HEFA joint,soybean HEFA joint,soybean HEFA joint low,biomass
rapeseed HEFA joint,rapeseed HEFA joint,rapeseed HEFA joint low,biomass
palmfruit HEFA joint,palmfruit HEFA joint,palmfruit HEFA joint low,biomass
oilcrop HEFA joint,oilcrop HEFA joint,oilcrop HEFA joint low,biomass
corn ETJ joint,corn ETJ joint,corn ETJ joint,biomass
