# File: A222.stubtech_secout.csv
# Title: USA refining technology secondary output coefficients
# Units: unitess ratio (secondary/primary output)
# Column types: cccccnnnnnnnn
# ----------
region,supplysector,subsector,technology,secondary.output,2020,2025,2030,2035,2040,2045,2050,2100
USA,corn ethanol,corn ethanol,corn ethanol,regional biomassOil soybean,0,0,0,0,0,0,0,0
USA,corn ethanol,corn ethanol,corn ethanol (no constraint),regional biomassOil soybean,0,0,0,0,0,0,0,0
USA,cellulosic ethanol,cellulosic ethanol,cellulosic ethanol,electricity,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121
USA,cellulosic ethanol,cellulosic ethanol,cellulosic ethanol (no constraint),electricity,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121
USA,refining,biomass liquids,FT biofuels,electricity,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
USA,cellulosic ethanol,cellulosic ethanol,cellulosic ethanol (residue bio),electricity,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121
