# File: A322.subsector_logit.csv
# Title: Fertilizer default technology logit exponents
# Units: Unitless
# Column types: ccic 
# ----------
supplysector,subsector,logit.exponent,logit.type
N fertilizer,coal,-12,
N fertilizer,gas,-12,
N fertilizer,refined liquids,-12,
N fertilizer,hydrogen,-12,
N fertilizer,Imports,-6,
Exports_fertilizer,N fertilizer,-12,
ammonia,coal,-8,
ammonia,gas,-8,
ammonia,refined liquids,-8,
ammonia,hydrogen,-8,
traded ammonia,traded ammonia,-6,
regional ammonia,domestic ammonia,-6,
regional ammonia,imported ammonia,-6,
ammonia energy,ammonia energy,-6,
