# File: A21.globaltech_cost.csv
# Title: Primary energy handling default costs
# Units: 1975$/GJ
# Column types: ccccnn 
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,2100
regional biomass,regional biomass,regional biomass,non-energy,0.737,0.737
regional corn for ethanol,regional corn for ethanol,regional corn for ethanol,non-energy,0,0
regional sugar for ethanol,regional sugar for ethanol,regional sugar for ethanol,non-energy,0,0
regional biomassOil oilcrop,regional biomassOil oilcrop,OilCrop oil,non-energy,0,0
regional biomassOil palmfruit,regional biomassOil palmfruit,PalmFruit oil,non-energy,0,0
regional biomassOil rapeseed,regional biomassOil rapeseed,Rapeseed oil,non-energy,0,0
regional biomassOil soybean,regional biomassOil soybean,Soybean oil,non-energy,0,0
