# File: A262.refinedLiquidsTradedSubsector.csv
# Title: Subsector assumptions for traded refined oil markets
# Units: Various
# Source: NA
# Column types: ccncnccccic
# ----------
supplysector,subsector,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function,traded,logit.type
traded refined oil,traded refined oil,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded corn ethanol,traded corn ethanol,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded sugar cane ethanol,traded sugar cane ethanol,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded oilcrop biodiesel,traded oilcrop biodiesel,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded palmfruit biodiesel,traded palmfruit biodiesel,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded rapeseed biodiesel,traded rapeseed biodiesel,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded soybean biodiesel,traded soybean biodiesel,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded soybean HEFA renewable diesel,traded soybean HEFA renewable diesel,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded rapeseed HEFA renewable diesel,traded rapeseed HEFA renewable diesel,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded palmfruit HEFA renewable diesel,traded palmfruit HEFA renewable diesel,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded oilcrop HEFA renewable diesel,traded oilcrop HEFA renewable diesel,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded soybean HEFA jet fuel,traded soybean HEFA jet fuel,-6,start-year,0,share-weight,final-calibration-year,end-year,fixed,1,
traded rapeseed HEFA jet fuel,traded rapeseed HEFA jet fuel,-6,start-year,0,share-weight,final-calibration-year,end-year,fixed,1,
traded palmfruit HEFA jet fuel,traded palmfruit HEFA jet fuel,-6,start-year,0,share-weight,final-calibration-year,end-year,fixed,1,
traded oilcrop HEFA jet fuel,traded oilcrop HEFA jet fuel,-6,start-year,0,share-weight,final-calibration-year,end-year,fixed,1,
traded refined jet,traded refined jet,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,1,
traded corn ethanol renewable diesel,traded corn ethanol renewable diesel,-6,start-year,1,share-weight,start-year,2020,fixed,1,
traded corn ETJ jet fuel,traded corn ETJ jet fuel,-6,start-year,0,share-weight,final-calibration-year,end-year,fixed,1,
