# File: A322.globaltech_coef.csv
# Title: Fertilizer production default coefficients
# Units:  GJ per kg N  (input-output coefficient)
# Column types: ccccnnnn
# ----------
supplysector,subsector,technology,minicam.energy.input,1971,2010,2050,2100
N fertilizer,coal,coal,delivered coal,0.054,0.054,0.0442,0.039
N fertilizer,coal,coal CCS,delivered coal,0.06,0.06,0.0491,0.0433
N fertilizer,gas,gas,wholesale gas,0.048571429,0.044807143,0.035264188,0.035264188
N fertilizer,gas,gas CCS,wholesale gas,0.055510204,0.051208163,0.040301929,0.040301929
N fertilizer,refined liquids,refined liquids,refined liquids industrial,0.05,0.045,0.0368,0.0325
Exports_fertilizer,N fertilizer,N fertilizer,N fertilizer,1,1,1,1
N fertilizer,hydrogen,hydrogen,H2 industrial,0.025742857,0.025742857,0.025742857,0.025742857
N fertilizer,hydrogen,hydrogen,wholesale gas,0.013307241,0.009542955,0,0
ammonia,coal,coal,delivered coal,0.0445,0.0445,0.0364,0.0321
ammonia,coal,coal CCS,delivered coal,0.0494,0.0494,0.0404,0.0357
ammonia,gas,gas,wholesale gas,0.04,0.0369,0.029,0.029
ammonia,gas,gas CCS,wholesale gas,0.0457,0.0422,0.0332,0.0332
ammonia,refined liquids,refined liquids,refined liquids industrial,0.0412,0.0371,0.0303,0.0268
ammonia,hydrogen,hydrogen,H2 central production,0.0212,0.0212,0.0212,0.0212
ammonia,hydrogen,hydrogen,wholesale gas,0.011,0.0079,0,0
ammonia energy,ammonia energy,ammonia energy,regional ammonia,53.19148936,53.19148936,53.19148936,53.19148936
traded ammonia,traded ammonia,traded ammonia,ammonia,1,1,1,1
regional ammonia,domestic ammonia,domestic ammonia,ammonia,1,1,1,1
regional ammonia,imported ammonia,imported ammonia,traded ammonia,1,1,1,1
