# File: A22.subsector_logit.csv
# Title: Primary energy transformation subsector logit exponents
# Units: NA
# Description: logit exponents and types for subsectors in energy transformation
# Column types: ccic 
# ----------
supplysector,subsector,logit.exponent,logit.type
gas processing,natural gas,-6,
gas processing,biomass gasification,-6,
gas processing,coal gasification,-6,
nuclearFuelGenII,enrichedUranium,-6,
nuclearFuelGenIII,enrichedUranium,-6,
refining,oil refining,-6,absolute-cost-logit
refining,biomass liquids,-6,absolute-cost-logit
refining,coal to liquids,-6,absolute-cost-logit
refining,gas to liquids,-6,absolute-cost-logit
corn ethanol,corn ethanol,-6,absolute-cost-logit
cellulosic ethanol,cellulosic ethanol,-6,absolute-cost-logit
sugar cane ethanol,sugar cane ethanol,-6,absolute-cost-logit
oilcrop biodiesel,oilcrop biodiesel,-6,
palmfruit biodiesel,palmfruit biodiesel,-6,
rapeseed biodiesel,rapeseed biodiesel,-6,
soybean biodiesel,soybean biodiesel,-6,
soybean HEFA joint,soybean HEFA joint,-6,
soybean HEFA jet fuel,soybean HEFA jet fuel,-6,
soybean HEFA renewable diesel,soybean HEFA renewable diesel,-6,
rapeseed HEFA joint,rapeseed HEFA joint,-6,
rapeseed HEFA jet fuel,rapeseed HEFA jet fuel,-6,
rapeseed HEFA renewable diesel,rapeseed HEFA renewable diesel,-6,
palmfruit HEFA joint,palmfruit HEFA joint,-6,
palmfruit HEFA jet fuel,palmfruit HEFA jet fuel,-6,
palmfruit HEFA renewable diesel,palmfruit HEFA renewable diesel,-6,
oilcrop HEFA joint,oilcrop HEFA joint,-6,
oilcrop HEFA jet fuel,oilcrop HEFA jet fuel,-6,
oilcrop HEFA renewable diesel,oilcrop HEFA renewable diesel,-6,
refined jet,refined jet,-6,
corn ETJ joint,corn ETJ joint,-6,
corn ethanol renewable diesel,corn ethanol renewable diesel,-6,
corn ETJ jet fuel,corn ETJ jet fuel,-6,
