# File: A271.freight_coef.csv
# Title: Coefficients of freight inputs to energy and ag commodities
# Units: million tkm per EJ = ton-meters per GJ
# Comments: price-unit-conversion takes into account the following:
#  (1) transportation output unit is 1e6 times the price unit denominator whereas all other sectors are 1e9.
#  (2) transportation price unit is 1990$ whereas others are 1975$.
#  (3) trn_freight costs are 17x higher than rail mode (the dominant mode for some of these fuels). Some de-rating is appropriate.
# Note: the methods are not set up to handle different tkm inputs for different refined liquid fuel commodities (e.g., ref liq industrial, ref liq enduse need to have the same coef in each region),,,,,,,,
# Column types: cccccnnnnnn
# ----------
region,supplysector,subsector,technology,minicam.energy.input,price.unit.conversion,1971,1990,2000,2015,2100
USA,FeedCrops,Corn,Corn,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,FiberCrop,FiberCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,Fruits,Fruits,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,Legumes,Legumes,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,MiscCrop,MiscCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,NutsSeeds,NutsSeeds,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,OilCrop,OilCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,OtherGrain,OtherGrain,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,PalmFruit,PalmFruit,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,Rapeseed,Rapeseed,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,Rice,Rice,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,RootTuber,RootTuber,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,Soybean,Soybean,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,SugarCrop,SugarCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,Vegetables,Vegetables,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,Wheat,Wheat,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,BlendVegOil,OilCrop oil,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,BlendVegOil,PalmFruit oil,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,BlendVegOil,Rapeseed oil,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,BlendVegOil,Soybean oil,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,FiberCrop,FiberCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,Fruits,Fruits,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,MiscCrop,MiscCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,OilCrop,OilCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,PalmFruit,PalmFruit,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,Plant,Legumes,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,Plant,NutsSeeds,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,Plant,Soybean,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,Rapeseed,Rapeseed,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,SugarCrop,SugarCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_NonStaples,Vegetables,Vegetables,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Staples,Corn,Corn,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Staples,OtherGrain,OtherGrain,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Staples,Rice,Rice,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Staples,RootTuber,RootTuber,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Staples,Wheat,Wheat,trn_freight,3.62E-05,600,600,600,600,600
USA,NonFoodDemand_Crops,Corn,Corn,trn_freight,3.62E-05,600,600,600,600,600
USA,NonFoodDemand_Crops,FiberCrop,FiberCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,NonFoodDemand_Crops,Fruits,Fruits,trn_freight,3.62E-05,600,600,600,600,600
USA,NonFoodDemand_Crops,Legumes,Legumes,trn_freight,3.62E-05,600,600,600,600,600
