# File: A26.globaltech_interp.csv
# Title: Energy distribution technology interpolation functions
# Units: NA
# Column types: ccccccc 
# ----------
supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function
refined liquids enduse,biodiesel,oilcrop biodiesel,share-weight,final-calibration-year,end-year,fixed
refined liquids enduse,biodiesel,rapeseed biodiesel,share-weight,final-calibration-year,end-year,fixed
refined liquids enduse,biodiesel,palmfruit biodiesel,share-weight,final-calibration-year,end-year,fixed
refined liquids enduse,biodiesel,soybean biodiesel,share-weight,final-calibration-year,end-year,fixed
refined liquids enduse,renewable diesel,soybean renewable diesel,share-weight,initial-future-year,end-year,fixed
refined liquids enduse,renewable diesel,rapeseed renewable diesel,share-weight,initial-future-year,end-year,fixed
refined liquids enduse,renewable diesel,palmfruit renewable diesel,share-weight,initial-future-year,end-year,fixed
refined liquids enduse,renewable diesel,oilcrop renewable diesel,share-weight,initial-future-year,end-year,fixed
refined liquids enduse,renewable diesel,corn ethanol renewable diesel,share-weight,initial-future-year,end-year,fixed
aviation fuels,renewable diesel,soybean renewable diesel,share-weight,initial-future-year,end-year,fixed
aviation fuels,renewable diesel,rapeseed renewable diesel,share-weight,initial-future-year,end-year,fixed
aviation fuels,renewable diesel,palmfruit renewable diesel,share-weight,initial-future-year,end-year,fixed
aviation fuels,renewable diesel,oilcrop renewable diesel,share-weight,initial-future-year,end-year,fixed
aviation fuels,ETJ,corn ETJ,share-weight,initial-future-year,end-year,fixed
aviation fuels,refined oil,refined oil,share-weight,final-calibration-year,end-year,fixed
