# File: A262.refinedLiquidsRegionalTechnology.csv
# Title: Technology-level assumptions of regional refined oil markets
# Units: Various
# Comments: pass-through subsectors; there is no technology competition
# Source: NA
# Column types: ccccnnnc 
# ----------
supplysector,subsector,technology,minicam.energy.input,coefficient,input.cost,share.weight,market.name
regional refined oil,domestic refined oil,domestic refined oil,refining,1,0,1,regional
regional refined oil,imported refined oil,imported refined oil,traded refined oil,1,0,1,USA
regional corn ethanol,domestic corn ethanol,domestic corn ethanol,corn ethanol,1,0,1,regional
regional corn ethanol,imported corn ethanol,imported corn ethanol,traded corn ethanol,1,0,1,USA
regional sugar cane ethanol,domestic sugar cane ethanol,domestic sugar cane ethanol,sugar cane ethanol,1,0,1,regional
regional sugar cane ethanol,imported sugar cane ethanol,imported sugar cane ethanol,traded sugar cane ethanol,1,0,1,USA
regional oilcrop biodiesel,domestic oilcrop biodiesel,domestic oilcrop biodiesel,oilcrop biodiesel,1,0,1,regional
regional palmfruit biodiesel,domestic palmfruit biodiesel,domestic palmfruit biodiesel,palmfruit biodiesel,1,0,1,regional
regional rapeseed biodiesel,domestic rapeseed biodiesel,domestic rapeseed biodiesel,rapeseed biodiesel,1,0,1,regional
regional soybean biodiesel,domestic soybean biodiesel,domestic soybean biodiesel,soybean biodiesel,1,0,1,regional
regional oilcrop biodiesel,imported oilcrop biodiesel,imported oilcrop biodiesel,traded oilcrop biodiesel,1,0,1,USA
regional palmfruit biodiesel,imported palmfruit biodiesel,imported palmfruit biodiesel,traded palmfruit biodiesel,1,0,1,USA
regional rapeseed biodiesel,imported rapeseed biodiesel,imported rapeseed biodiesel,traded rapeseed biodiesel,1,0,1,USA
regional soybean biodiesel,imported soybean biodiesel,imported soybean biodiesel,traded soybean biodiesel,1,0,1,USA
regional soybean HEFA renewable diesel,domestic soybean HEFA renewable diesel,domestic soybean HEFA renewable diesel,soybean HEFA renewable diesel,1,0,1,regional
regional rapeseed HEFA renewable diesel,domestic rapeseed HEFA renewable diesel,domestic rapeseed HEFA renewable diesel,rapeseed HEFA renewable diesel,1,0,1,regional
regional palmfruit HEFA renewable diesel,domestic palmfruit HEFA renewable diesel,domestic palmfruit HEFA renewable diesel,palmfruit HEFA renewable diesel,1,0,1,regional
regional oilcrop HEFA renewable diesel,domestic oilcrop HEFA renewable diesel,domestic oilcrop HEFA renewable diesel,oilcrop HEFA renewable diesel,1,0,1,regional
regional soybean HEFA renewable diesel,imported soybean HEFA renewable diesel,imported soybean HEFA renewable diesel,traded soybean HEFA renewable diesel,1,0,1,USA
regional rapeseed HEFA renewable diesel,imported rapeseed HEFA renewable diesel,imported rapeseed HEFA renewable diesel,traded rapeseed HEFA renewable diesel,1,0,1,USA
regional palmfruit HEFA renewable diesel,imported palmfruit HEFA renewable diesel,imported palmfruit HEFA renewable diesel,traded palmfruit HEFA renewable diesel,1,0,1,USA
regional oilcrop HEFA renewable diesel,imported oilcrop HEFA renewable diesel,imported oilcrop HEFA renewable diesel,traded oilcrop HEFA renewable diesel,1,0,1,USA
regional soybean HEFA jet fuel,domestic soybean HEFA jet fuel,domestic soybean HEFA jet fuel,soybean HEFA jet fuel,1,0,1,regional
regional rapeseed HEFA jet fuel,domestic rapeseed HEFA jet fuel,domestic rapeseed HEFA jet fuel,rapeseed HEFA jet fuel,1,0,1,regional
regional palmfruit HEFA jet fuel,domestic palmfruit HEFA jet fuel,domestic palmfruit HEFA jet fuel,palmfruit HEFA jet fuel,1,0,1,regional
regional oilcrop HEFA jet fuel,domestic oilcrop HEFA jet fuel,domestic oilcrop HEFA jet fuel,oilcrop HEFA jet fuel,1,0,1,regional
regional soybean HEFA jet fuel,imported soybean HEFA jet fuel,imported soybean HEFA jet fuel,traded soybean HEFA jet fuel,1,0,1,USA
regional rapeseed HEFA jet fuel,imported rapeseed HEFA jet fuel,imported rapeseed HEFA jet fuel,traded rapeseed HEFA jet fuel,1,0,1,USA
regional palmfruit HEFA jet fuel,imported palmfruit HEFA jet fuel,imported palmfruit HEFA jet fuel,traded palmfruit HEFA jet fuel,1,0,1,USA
regional oilcrop HEFA jet fuel,imported oilcrop HEFA jet fuel,imported oilcrop HEFA jet fuel,traded oilcrop HEFA jet fuel,1,0,1,USA
regional refined jet,domestic refined jet,domestic refined jet,refined jet,1,0,1,regional
regional refined jet,imported refined jet,imported refined jet,traded refined jet,1,0,1,USA
regional corn ethanol renewable diesel,domestic corn ethanol renewable diesel,domestic corn ethanol renewable diesel,corn ethanol renewable diesel,1,0,1,regional
regional corn ethanol renewable diesel,imported corn ethanol renewable diesel,imported corn ethanol renewable diesel,traded corn ethanol renewable diesel,1,0,1,USA
regional corn ETJ jet fuel,domestic corn ETJ jet fuel,domestic corn ETJ jet fuel,corn ETJ jet fuel,1,0,1,regional
regional corn ETJ jet fuel,imported corn ETJ jet fuel,imported corn ETJ jet fuel,traded corn ETJ jet fuel,1,0,1,USA
