# File: A261.globaltech_eff.csv
# Title: motor gasoline technology efficiency
# Units: Unitless out/in (passthrough)
# Column types: ccccnnn
# ----------
supplysector,subsector,technology,minicam.energy.input,1971,2005,2100
refined liquids gasoline pool,refining,refining,regional refined oil,1,1,1
refined liquids gasoline pool,ethanol,corn ethanol,regional corn ethanol,1,1,1
refined liquids gasoline pool,ethanol,sugar cane ethanol,regional sugar cane ethanol,1,1,1
refined liquids gasoline pool,ethanol,cellulosic ethanol,cellulosic ethanol,1,1,1
