# File: A21.globaltech_coef.csv
# Title: Primary energy handling default coefficients
# Units: Unitless
#Source: Fine et al 2015. Food losses and waste in the french oilcrops sector. OCL.22.A302.10.1051/ocl/2015012
# Column types: ccccnnnn
# ----------
supplysector,subsector,technology,minicam.energy.input,1971,2010,2015,2100
regional biomass,regional biomass,regional biomass,biomass,1,1,1,1
regional corn for ethanol,regional corn for ethanol,regional corn for ethanol,regional corn,111.79,111.79,111.79,111.79
regional sugar for ethanol,regional sugar for ethanol,regional sugar for ethanol,regional sugarcrop,582.48,582.48,582.48,582.48
regional biomassOil oilcrop,regional biomassOil oilcrop,OilCrop oil,regional oilcrop oil,25.6,25.6,25.6,25.6
regional biomassOil palmfruit,regional biomassOil palmfruit,PalmFruit oil,regional palmfruit oil,25.6,25.6,25.6,25.6
regional biomassOil rapeseed,regional biomassOil rapeseed,Rapeseed oil,regional rapeseed oil,25.6,25.6,25.6,25.6
regional biomassOil soybean,regional biomassOil soybean,Soybean oil,regional soybean oil,25.6,25.6,25.6,25.6
