# File: A262.refinedLiquidsRegionalSubsector.csv
# Title: Subsector assumptions for regional refined oil markets
# Units: Various
# Source: NA
# Column types: ccncnccccc
# ----------
supplysector,subsector,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function,logit.type
regional refined oil,domestic refined oil,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
regional refined oil,imported refined oil,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
regional corn ethanol,domestic corn ethanol,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional corn ethanol,imported corn ethanol,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional sugar cane ethanol,domestic sugar cane ethanol,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional sugar cane ethanol,imported sugar cane ethanol,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional oilcrop biodiesel,domestic oilcrop biodiesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional palmfruit biodiesel,domestic palmfruit biodiesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional rapeseed biodiesel,domestic rapeseed biodiesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional soybean biodiesel,domestic soybean biodiesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional oilcrop biodiesel,imported oilcrop biodiesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional palmfruit biodiesel,imported palmfruit biodiesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional rapeseed biodiesel,imported rapeseed biodiesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional soybean biodiesel,imported soybean biodiesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional soybean HEFA renewable diesel,domestic soybean HEFA renewable diesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional rapeseed HEFA renewable diesel,domestic rapeseed HEFA renewable diesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional palmfruit HEFA renewable diesel,domestic palmfruit HEFA renewable diesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional oilcrop HEFA renewable diesel,domestic oilcrop HEFA renewable diesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional soybean HEFA renewable diesel,imported soybean HEFA renewable diesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional rapeseed HEFA renewable diesel,imported rapeseed HEFA renewable diesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional palmfruit HEFA renewable diesel,imported palmfruit HEFA renewable diesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional oilcrop HEFA renewable diesel,imported oilcrop HEFA renewable diesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional soybean HEFA jet fuel,domestic soybean HEFA jet fuel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional rapeseed HEFA jet fuel,domestic rapeseed HEFA jet fuel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional palmfruit HEFA jet fuel,domestic palmfruit HEFA jet fuel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional oilcrop HEFA jet fuel,domestic oilcrop HEFA jet fuel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional soybean HEFA jet fuel,imported soybean HEFA jet fuel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional rapeseed HEFA jet fuel,imported rapeseed HEFA jet fuel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional palmfruit HEFA jet fuel,imported palmfruit HEFA jet fuel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional oilcrop HEFA jet fuel,imported oilcrop HEFA jet fuel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional refined jet,domestic refined jet,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional refined jet,imported refined jet,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional corn ethanol renewable diesel,domestic corn ethanol renewable diesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional corn ethanol renewable diesel,imported corn ethanol renewable diesel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional corn ETJ jet fuel,domestic corn ETJ jet fuel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
regional corn ETJ jet fuel,imported corn ETJ jet fuel,-6,start-year,1,share-weight,final-calibration-year,end-year,s-curve,
