# File: comtrade_refinedLiquids.csv
# Title: trade of refined liquid products between countries in 2015
# Source: UN Comtrade database: https://comtrade.un.org/data/
# Units: Indicated in data column names
# Column types: iiciicciinnni
# ----------
Year,Reporter Code,Reporter ISO,Trade Flow Code,Partner Code,Partner ISO,Classification,Commodity Code,Qty Unit Code,Qty,Netweight (kg),Trade Value (US$),Flag
2015,12,"DZA",2,28,"ATG","H4",2710,8,46179,46179,27262,0
2015,32,"ARG",1,32,"ARG","H4",2710,8,361,361,4052,0
2015,32,"ARG",4,32,"ARG","H4",2710,8,361,361,4052,0
2015,36,"AUS",2,32,"ARG","H4",2710,8,1,1,104,0
2015,40,"AUT",1,24,"AGO","H4",2709,8,65237000,65237000,20399658,0
2015,40,"AUT",2,20,"AND","H4",2710,8,15,15,189,0
2015,40,"AUT",2,24,"AGO","H4",2710,8,80,80,630,0
2015,40,"AUT",2,32,"ARG","H4",2710,8,96,96,4068,0
2015,44,"BHS",1,28,"ATG","H4",2710,1,NA,273,191,0
2015,44,"BHS",2,28,"ATG","H4",2710,1,NA,4112456,1532624,0
2015,44,"BHS",3,28,"ATG","H4",2710,1,NA,4112456,1532624,0
2015,56,"BEL",2,24,"AGO","H4",2707,8,14000,14000,17126,0
2015,56,"BEL",1,32,"ARG","H4",2707,8,5681240,5681240,3278717,0
2015,56,"BEL",2,20,"AND","H4",2710,8,30,30,426,0
2015,56,"BEL",1,24,"AGO","H4",2710,8,34864448,34864448,19154877,6
2015,56,"BEL",2,24,"AGO","H4",2710,8,1931088,1931088,2209950,0
2015,56,"BEL",1,32,"ARG","H4",2710,8,298,298,363,0
2015,56,"BEL",2,32,"ARG","H4",2710,8,4276399,4276399,3413633,0
2015,68,"BOL",1,32,"ARG","H4",2707,8,51398,51398,69551,0
2015,68,"BOL",2,32,"ARG","H4",2709,8,58383010,58383010,27263041,0
2015,68,"BOL",1,32,"ARG","H4",2710,8,556053302,556053302,476557820,0
2015,68,"BOL",2,32,"ARG","H4",2710,8,2131467,2131467,2424762,0
2015,72,"BWA",1,20,"AND","H4",2710,8,2460,2400,3208,0
2015,76,"BRA",2,24,"AGO","H4",2707,8,118,118,1613,0
2015,76,"BRA",1,32,"ARG","H4",2707,8,1003780,1003780,874908,0
2015,76,"BRA",2,32,"ARG","H4",2707,8,41000,41000,58490,0
2015,76,"BRA",2,32,"ARG","H4",2709,8,47,47,487,0
2015,76,"BRA",1,24,"AGO","H4",2710,8,63099200,63099200,33334737,0
2015,76,"BRA",2,24,"AGO","H4",2710,8,369800,369800,761163,0
2015,76,"BRA",2,28,"ATG","H4",2710,8,572,572,1994,0
2015,76,"BRA",1,32,"ARG","H4",2710,8,336683429,336683429,184734680,0
2015,76,"BRA",2,32,"ARG","H4",2710,8,89597992,89599385,46892480,6
2015,84,"BLZ",1,32,"ARG","H4",2710,8,35274,35274,96695,0
2015,100,"BGR",2,28,"ATG","H4",2710,8,50542,50542,28115,0
2015,104,"MMR",1,32,"ARG","H4",2710,8,30960,30960,88931,0
2015,112,"BLR",2,24,"AGO","H4",2710,8,1708444,1708444,850100,0
2015,120,"CMR",2,20,"AND","H4",2710,8,35225,35225,15173,0
2015,120,"CMR",1,28,"ATG","H4",2710,8,2,2,56,0
2015,124,"CAN",1,24,"AGO","H4",2709,12,1742065,NA,519220745,0
2015,124,"CAN",1,32,"ARG","H4",2709,12,136220,NA,56609961,0
2015,124,"CAN",2,24,"AGO","H4",2710,8,37761,37761,28342,0
2015,124,"CAN",3,24,"AGO","H4",2710,8,35634,35634,21489,0
2015,124,"CAN",2,28,"ATG","H4",2710,8,25,25,110,0
2015,124,"CAN",3,28,"ATG","H4",2710,8,10,10,42,0
2015,124,"CAN",1,32,"ARG","H4",2710,8,15,15,114,0
2015,124,"CAN",2,32,"ARG","H4",2710,8,1071925,1071925,1009700,0
2015,124,"CAN",3,32,"ARG","H4",2710,8,1053,1053,5616,0
2015,152,"CHL",1,32,"ARG","H4",2707,8,4923348,4923348,4674240,0
2015,152,"CHL",1,24,"AGO","H4",2709,8,136541710,136541710,56333545,0
2015,152,"CHL",1,32,"ARG","H4",2709,8,30093780,30093780,9128458,0
2015,152,"CHL",1,32,"ARG","H4",2710,8,42395765,42395765,35930509,6
2015,152,"CHL",2,32,"ARG","H4",2710,8,475278,475278,1385328,0
2015,156,"CHN",2,24,"AGO","H4",2707,8,2310,2310,10141,0
2015,156,"CHN",2,32,"ARG","H4",2707,8,16000,16000,30880,0
2015,156,"CHN",1,24,"AGO","H4",2709,8,38693934704,38693934704,15918015299,0
2015,156,"CHN",1,32,"ARG","H4",2709,8,436656592,436656592,172521214,0
2015,156,"CHN",2,24,"AGO","H4",2710,8,195247,195247,459894,0
2015,156,"CHN",2,28,"ATG","H4",2710,8,70996815,70996815,26045461,0
2015,156,"CHN",2,32,"ARG","H4",2710,8,766402,766402,505043,0
2015,170,"COL",2,24,"AGO","H4",2710,8,10,10,32,0
2015,170,"COL",1,32,"ARG","H4",2710,8,139483,139483,471413,0
2015,170,"COL",2,32,"ARG","H4",2710,8,11044658,11044658,8572849,0
2015,178,"COG",1,24,"AGO","H4",2710,8,33748360,33748360,422575838,0
2015,178,"COG",2,24,"AGO","H4",2710,8,3400,3400,11892,0
2015,180,"COD",1,24,"AGO","H4",2710,1,0,0,397028,0
2015,203,"CZE",2,32,"ARG","H4",2710,8,2774,2774,2728,0
2015,204,"BEN",2,20,"AND","H4",2710,8,50460,50460,26307,0
2015,208,"DNK",1,24,"AGO","H4",2709,8,70438140,70438140,32709244,0
2015,208,"DNK",2,24,"AGO","H4",2710,8,785,785,4562,0
2015,208,"DNK",2,32,"ARG","H4",2710,8,45,45,103,0
2015,214,"DOM",2,28,"ATG","H4",2710,1,NA,26717,71074,0
2015,214,"DOM",1,32,"ARG","H4",2710,1,NA,22496,41080,4
2015,218,"ECU",2,24,"AGO","H4",2710,8,8,8,33,0
2015,218,"ECU",1,32,"ARG","H4",2710,8,397261,397261,1240216,0
2015,218,"ECU",2,32,"ARG","H4",2710,8,3,3,94,0
2015,222,"SLV",1,32,"ARG","H4",2710,8,43,43,502,0
2015,231,"ETH",1,20,"AND","H4",2710,8,23,23,201,0
2015,231,"ETH",1,32,"ARG","H4",2710,8,109566,109566,249738,0
2015,233,"EST",2,28,"ATG","H4",2710,8,5590,5590,10698,0
2015,233,"EST",2,32,"ARG","H4",2710,8,30632,30632,19730,0
2015,246,"FIN",1,24,"AGO","H4",2709,8,125710000,125710000,44681881,0
2015,246,"FIN",2,32,"ARG","H4",2710,8,38,38,22,6
2015,251,"FRA",2,32,"ARG","H4",2707,8,65,65,78,0
2015,251,"FRA",1,24,"AGO","H4",2709,8,4175023988,4175023988,1605609312,0
2015,251,"FRA",2,20,"AND","H4",2710,8,51464529,51464529,42494268,0
2015,251,"FRA",1,24,"AGO","H4",2710,8,902,902,2183,0
2015,251,"FRA",2,24,"AGO","H4",2710,8,6946070,6946070,7687402,0
