# File: A262.refinedLiquidsTradedSector.csv
# Title: Supplysector assumptions for traded refined oil and biofuel markets (including logit exponent for subsector competition)
# Units: Various
# Comments: These sectors compete different regions in supplying the pool of globally traded refined oil and biofuels
# Source: NA
# Column types: ccccinc
# ----------
supplysector,output.unit,input.unit,price.unit,traded,logit.exponent,logit.type
traded refined oil,EJ,EJ,1975$/GJ,1,-6,
traded oilcrop biodiesel,EJ,EJ,1975$/GJ,1,-6,
traded palmfruit biodiesel,EJ,EJ,1975$/GJ,1,-6,
traded rapeseed biodiesel,EJ,EJ,1975$/GJ,1,-6,
traded soybean biodiesel,EJ,EJ,1975$/GJ,1,-6,
traded corn ethanol,EJ,EJ,1975$/GJ,1,-6,
traded sugar cane ethanol,EJ,EJ,1975$/GJ,1,-6,
traded soybean HEFA renewable diesel,EJ,EJ,1975$/GJ,1,-3,
traded rapeseed HEFA renewable diesel,EJ,EJ,1975$/GJ,1,-3,
traded palmfruit HEFA renewable diesel,EJ,EJ,1975$/GJ,1,-3,
traded oilcrop HEFA renewable diesel,EJ,EJ,1975$/GJ,1,-3,
traded soybean HEFA jet fuel,EJ,EJ,1975$/GJ,1,-3,
traded rapeseed HEFA jet fuel,EJ,EJ,1975$/GJ,1,-3,
traded palmfruit HEFA jet fuel,EJ,EJ,1975$/GJ,1,-3,
traded oilcrop HEFA jet fuel,EJ,EJ,1975$/GJ,1,-3,
traded refined jet,EJ,EJ,1975$/GJ,1,-3,
traded corn ethanol renewable diesel,EJ,EJ,1975$/GJ,1,-3,
traded corn ETJ jet fuel,EJ,EJ,1975$/GJ,1,-3,
