# File: A262.refinedLiquidsTradedTechnology.csv
# Title: Technology-level assumptions of traded refined oil markets
# Units: Various
# Comments: pass-through subsectors; there is no technology competition
# Source: NA
# Column types: ccccnnni 
# ----------
supplysector,subsector,technology,minicam.energy.input,coefficient,input.cost,share.weight,traded
traded refined oil,traded refined oil,traded refined oil,refining,1,0,1,1
traded corn ethanol,traded corn ethanol,traded corn ethanol,corn ethanol,1,0,1,1
traded sugar cane ethanol,traded sugar cane ethanol,traded sugar cane ethanol,sugar cane ethanol,1,0,1,1
traded oilcrop biodiesel,traded oilcrop biodiesel,traded oilcrop biodiesel,oilcrop biodiesel,1,0,1,1
traded palmfruit biodiesel,traded palmfruit biodiesel,traded palmfruit biodiesel,palmfruit biodiesel,1,0,1,1
traded rapeseed biodiesel,traded rapeseed biodiesel,traded rapeseed biodiesel,rapeseed biodiesel,1,0,1,1
traded soybean biodiesel,traded soybean biodiesel,traded soybean biodiesel,soybean biodiesel,1,0,1,1
traded soybean HEFA renewable diesel,traded soybean HEFA renewable diesel,traded soybean HEFA renewable diesel,soybean HEFA renewable diesel,1,0,1,1
traded rapeseed HEFA renewable diesel,traded rapeseed HEFA renewable diesel,traded rapeseed HEFA renewable diesel,rapeseed HEFA renewable diesel,1,0,1,1
traded palmfruit HEFA renewable diesel,traded palmfruit HEFA renewable diesel,traded palmfruit HEFA renewable diesel,palmfruit HEFA renewable diesel,1,0,1,1
traded oilcrop HEFA renewable diesel,traded oilcrop HEFA renewable diesel,traded oilcrop HEFA renewable diesel,oilcrop HEFA renewable diesel,1,0,1,1
traded soybean HEFA jet fuel,traded soybean HEFA jet fuel,traded soybean HEFA jet fuel,soybean HEFA jet fuel,1,0,1,1
traded rapeseed HEFA jet fuel,traded rapeseed HEFA jet fuel,traded rapeseed HEFA jet fuel,rapeseed HEFA jet fuel,1,0,1,1
traded palmfruit HEFA jet fuel,traded palmfruit HEFA jet fuel,traded palmfruit HEFA jet fuel,palmfruit HEFA jet fuel,1,0,1,1
traded oilcrop HEFA jet fuel,traded oilcrop HEFA jet fuel,traded oilcrop HEFA jet fuel,oilcrop HEFA jet fuel,1,0,1,1
traded refined jet,traded refined jet,traded refined jet,refined jet,1,0,1,1
traded corn ethanol renewable diesel,traded corn ethanol renewable diesel,traded corn ethanol renewable diesel,corn ethanol renewable diesel,1,0,1,1
traded corn ETJ jet fuel,traded corn ETJ jet fuel,traded corn ETJ jet fuel,corn ETJ jet fuel,1,0,1,1
