# File: A22.globaltech_interp.csv
# Title: Primary energy transformation technology interpolation
# Units: N/A
# Description: characteristics of interpolation functions for techs that may have calibrated values in subsectors with multiple calibrated technologies
# Column types: ccccccc 
# ----------
supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function
cellulosic ethanol,cellulosic ethanol,cellulosic ethanol,share-weight,final-calibration-year,2020,fixed
refining,biomass liquids,FT biofuels,share-weight,final-calibration-year,2020,linear
corn ethanol,corn ethanol,corn ethanol,share-weight,final-calibration-year,end-year,linear
sugar cane ethanol,sugar cane ethanol,sugar cane ethanol,share-weight,final-calibration-year,end-year,linear
