# File: A22.globaltech_coef.csv
# Title: Primary energy transformation technologies default coefficient assumptions
# Units: Unitless
# Column types: ccccnnn
# ----------
supplysector,subsector,technology,minicam.energy.input,1971,2020,2100
gas processing,natural gas,natural gas,regional natural gas,1,1,1
gas processing,biomass gasification,biomass gasification,regional biomass,1.343,1.343,1.227
gas processing,coal gasification,coal gasification,regional coal,1.326,1.326,1.211
nuclearFuelGenII,enrichedUranium,enrichedUranium,uranium,0.002373172,0.002373172,0.002373172
nuclearFuelGenIII,enrichedUranium,enrichedUranium,uranium,0.002373172,0.002373172,0.002373172
refining,oil refining,oil refining,regional oil,1.055,1.055,1.02
refining,oil refining,oil refining,wholesale gas,0.018,0.018,0.018
refining,oil refining,oil refining,elect_td_ind,0.005,0.005,0.005
refining,coal to liquids,coal to liquids,regional coal,2.112,2.112,1.959
refining,coal to liquids,coal to liquids CCS level 1,regional coal,2.196,2.196,2.037
refining,coal to liquids,coal to liquids CCS level 2,regional coal,2.323,2.323,2.155
refining,gas to liquids,gas to liquids,regional natural gas,1.654,1.654,1.534
cellulosic ethanol,cellulosic ethanol,cellulosic ethanol,regional biomass,2.057,2.057,1.771
cellulosic ethanol,cellulosic ethanol,cellulosic ethanol CCS level 1,regional biomass,2.139,2.139,1.842
cellulosic ethanol,cellulosic ethanol,cellulosic ethanol CCS level 2,regional biomass,2.263,2.263,1.948
refining,biomass liquids,FT biofuels,regional biomass,1.961,1.961,1.739
refining,biomass liquids,FT biofuels CCS level 1,regional biomass,2.039,2.039,1.809
refining,biomass liquids,FT biofuels CCS level 2,regional biomass,2.157,2.157,1.913
corn ethanol,corn ethanol,corn ethanol,regional corn for ethanol,1,1,1
corn ethanol,corn ethanol,corn ethanol,wholesale gas,0.318,0.318,0.318
corn ethanol,corn ethanol,corn ethanol,elect_td_ind,0.026,0.026,0.026
sugar cane ethanol,sugar cane ethanol,sugar cane ethanol,regional sugar for ethanol,1,1,1
oilcrop biodiesel,oilcrop biodiesel,oilcrop biodiesel,regional biomassOil oilcrop,1.0309,1.0309,1.03
oilcrop biodiesel,oilcrop biodiesel,oilcrop biodiesel,wholesale gas,0.05767,0.05767,0.06
rapeseed biodiesel,rapeseed biodiesel,rapeseed biodiesel,regional biomassOil rapeseed,1.0309,1.0309,1.03
rapeseed biodiesel,rapeseed biodiesel,rapeseed biodiesel,wholesale gas,0.05767,0.05767,0.06
palmfruit biodiesel,palmfruit biodiesel,palmfruit biodiesel,regional biomassOil palmfruit,1.0309,1.0309,1.03
palmfruit biodiesel,palmfruit biodiesel,palmfruit biodiesel,wholesale gas,0.05767,0.05767,0.06
soybean biodiesel,soybean biodiesel,soybean biodiesel,regional biomassOil soybean,1.0309,1.0309,1.03
soybean biodiesel,soybean biodiesel,soybean biodiesel,wholesale gas,0.05767,0.05767,0.06
refining,biomass liquids,BTL with hydrogen,H2 industrial,0.816228052,0.816228052,0.816228052
refining,biomass liquids,BTL with hydrogen,regional biomass,1.031914894,1.031914894,1.031914894
#soybean renewable diesel,soybean renewable diesel,soybean renewable diesel,regional biomassOil soybean,1.0685,1.0685,1.0685
#soybean renewable diesel,soybean renewable diesel,soybean renewable diesel,wholesale gas,0.0186,0.0186,0.0186
#soybean renewable diesel,soybean renewable diesel,soybean renewable diesel,elect_td_ind,0.0098,0.0098,0.0098
#soybean renewable diesel,soybean renewable diesel,soybean renewable diesel,H2 industrial,0.1095,0.1095,0.1095
#rapeseed renewable diesel,rapeseed renewable diesel,rapeseed renewable diesel,regional biomassOil rapeseed,1.0685,1.0685,1.0685
#rapeseed renewable diesel,rapeseed renewable diesel,rapeseed renewable diesel,wholesale gas,0.0186,0.0186,0.0186
#rapeseed renewable diesel,rapeseed renewable diesel,rapeseed renewable diesel,elect_td_ind,0.0098,0.0098,0.0098
#rapeseed renewable diesel,rapeseed renewable diesel,rapeseed renewable diesel,H2 industrial,0.1095,0.1095,0.1095
#palmfruit renewable diesel,palmfruit renewable diesel,palmfruit renewable diesel,regional biomassOil palmfruit,1.0685,1.0685,1.0685
#palmfruit renewable diesel,palmfruit renewable diesel,palmfruit renewable diesel,wholesale gas,0.0186,0.0186,0.0186
#palmfruit renewable diesel,palmfruit renewable diesel,palmfruit renewable diesel,elect_td_ind,0.0098,0.0098,0.0098
#palmfruit renewable diesel,palmfruit renewable diesel,palmfruit renewable diesel,H2 industrial,0.1095,0.1095,0.1095
#oilcrop renewable diesel,oilcrop renewable diesel,oilcrop renewable diesel,regional biomassOil oilcrop,1.0685,1.0685,1.0685
#oilcrop renewable diesel,oilcrop renewable diesel,oilcrop renewable diesel,wholesale gas,0.0186,0.0186,0.0186
#oilcrop renewable diesel,oilcrop renewable diesel,oilcrop renewable diesel,elect_td_ind,0.0098,0.0098,0.0098
#oilcrop renewable diesel,oilcrop renewable diesel,oilcrop renewable diesel,H2 industrial,0.1095,0.1095,0.1095
soybean renewable diesel joint,soybean renewable diesel joint,soybean renewable diesel joint,regional biomassOil soybean,1.0685,1.0685,1.0685
soybean renewable diesel joint,soybean renewable diesel joint,soybean renewable diesel joint,wholesale gas,0.0186,0.0186,0.0186
soybean renewable diesel joint,soybean renewable diesel joint,soybean renewable diesel joint,elect_td_ind,0.0098,0.0098,0.0098
soybean renewable diesel joint,soybean renewable diesel joint,soybean renewable diesel joint,H2 industrial,0.1095,0.1095,0.1095
soybean renewable diesel jet fuel,soybean renewable diesel jet fuel,soybean renewable diesel jet fuel,soybean renewable diesel joint,1,1,1
soybean renewable diesel jet fuel,soybean renewable diesel jet fuel,soybean renewable diesel jet fuel,soybean renewable diesel jet credit,1,1,1
soybean renewable diesel,soybean renewable diesel,soybean renewable diesel,soybean renewable diesel joint,1,1,1
soybean renewable diesel,soybean renewable diesel,soybean renewable diesel,soybean renewable diesel jet credit,1,1,1
