# File: A271.freight_cost_adj.csv
# Title: revisions to non-energy costs to counter-balance transport costs explicitly included in LCA_inputs
# Units: 1975$/GJ
# Column types: cccccnn
# ----------
region,supplysector,subsector,technology,minicam.non.energy.input,1971,2100
Europe_Eastern,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
Europe_Non_EU,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
Europe_Non_EU,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
Europe_Non_EU,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
Europe_Non_EU,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
Europe_Non_EU,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
Europe_Non_EU,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Europe_Non_EU,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Europe_Non_EU,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
Europe_Non_EU,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
European Free Trade Association,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
European Free Trade Association,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
European Free Trade Association,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
European Free Trade Association,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
European Free Trade Association,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
European Free Trade Association,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
European Free Trade Association,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
European Free Trade Association,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
European Free Trade Association,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
India,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
India,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
India,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
India,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
India,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
India,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
India,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
India,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
India,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
Indonesia,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
Indonesia,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
Indonesia,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
Indonesia,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
Indonesia,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
Indonesia,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Indonesia,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Indonesia,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
Indonesia,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
Japan,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
Japan,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
Japan,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
Japan,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
Japan,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
Japan,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Japan,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Japan,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
Japan,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
Mexico,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
Mexico,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
Mexico,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
Mexico,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
Mexico,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
Mexico,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Mexico,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Mexico,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
Mexico,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
Middle East,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
Middle East,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
Middle East,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
Middle East,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
Middle East,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
Middle East,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Middle East,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Middle East,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
Middle East,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
Pakistan,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
Pakistan,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
Pakistan,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
Pakistan,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
Pakistan,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
Pakistan,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Pakistan,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Pakistan,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
Pakistan,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
Russia,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
Russia,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
Russia,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
Russia,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
Russia,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
Russia,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Russia,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Russia,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
Russia,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
South Africa,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
South Africa,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
South Africa,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
South Africa,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
South Africa,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
South Africa,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
South Africa,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
South Africa,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
South Africa,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
South America_Northern,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
South America_Northern,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
South America_Northern,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
South America_Northern,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
South America_Northern,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
South America_Northern,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
South America_Northern,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
South America_Northern,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
South America_Northern,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
South America_Southern,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
South America_Southern,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
South America_Southern,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
South America_Southern,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
South America_Southern,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
South America_Southern,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
South America_Southern,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
South America_Southern,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
South America_Southern,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
South Asia,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
South Asia,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
South Asia,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
South Asia,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
South Asia,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
South Asia,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
South Asia,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
South Asia,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
South Asia,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
South Korea,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
South Korea,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
South Korea,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
South Korea,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
South Korea,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
South Korea,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
South Korea,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
South Korea,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
South Korea,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
Southeast Asia,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
Southeast Asia,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
Southeast Asia,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
Southeast Asia,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
Southeast Asia,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
Southeast Asia,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Southeast Asia,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Southeast Asia,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
Southeast Asia,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
Taiwan,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
Taiwan,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
Taiwan,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
Taiwan,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
Taiwan,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
Taiwan,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Taiwan,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Taiwan,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
Taiwan,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
Argentina,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
Argentina,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
Argentina,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
Argentina,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
Argentina,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
Argentina,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Argentina,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Argentina,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
Argentina,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
Colombia,refined liquids enduse,refined oil,refined oil,non-energy,0.9,0.9
Colombia,refined liquids enduse,biodiesel,oilcrop biodiesel,non-energy,0.9,0.9
Colombia,refined liquids enduse,biodiesel,rapeseed biodiesel,non-energy,0.9,0.9
Colombia,refined liquids enduse,biodiesel,palmfruit biodiesel,non-energy,0.9,0.9
Colombia,refined liquids enduse,biodiesel,soybean biodiesel,non-energy,0.9,0.9
Colombia,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Colombia,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Colombia,refined liquids gasoline pool,ethanol,corn ethanol,non-energy,0.9,0.9
Colombia,refined liquids gasoline pool,ethanol,sugar cane ethanol,non-energy,0.9,0.9
Africa_Northern,regional biomassOil oilcrop,regional biomassOil oilcrop,OilCrop oil,non-energy,-1,-1
Central Asia,regional biomassOil oilcrop,regional biomassOil oilcrop,OilCrop oil,non-energy,-1,-1
EU-12,regional biomassOil oilcrop,regional biomassOil oilcrop,OilCrop oil,non-energy,-1,-1
EU-15,regional biomassOil oilcrop,regional biomassOil oilcrop,OilCrop oil,non-energy,-1,-1
Europe_Eastern,regional biomassOil oilcrop,regional biomassOil oilcrop,OilCrop oil,non-energy,-1,-1
Europe_Non_EU,regional biomassOil oilcrop,regional biomassOil oilcrop,OilCrop oil,non-energy,-1,-1
Central America and Caribbean,regional biomassOil palmfruit,regional biomassOil palmfruit,PalmFruit oil,non-energy,-1,-1
Colombia,regional biomassOil palmfruit,regional biomassOil palmfruit,PalmFruit oil,non-energy,-1,-1
EU-12,regional biomassOil palmfruit,regional biomassOil palmfruit,PalmFruit oil,non-energy,-1,-1
EU-15,regional biomassOil palmfruit,regional biomassOil palmfruit,PalmFruit oil,non-energy,-1,-1
Europe_Non_EU,regional biomassOil palmfruit,regional biomassOil palmfruit,PalmFruit oil,non-energy,-1,-1
Indonesia,regional biomassOil palmfruit,regional biomassOil palmfruit,PalmFruit oil,non-energy,-1,-1
Southeast Asia,regional biomassOil palmfruit,regional biomassOil palmfruit,PalmFruit oil,non-energy,-1,-1
Taiwan,regional biomassOil palmfruit,regional biomassOil palmfruit,PalmFruit oil,non-energy,-1,-1
Australia_NZ,regional biomassOil rapeseed,regional biomassOil rapeseed,Rapeseed oil,non-energy,-1,-1
Canada,regional biomassOil rapeseed,regional biomassOil rapeseed,Rapeseed oil,non-energy,-1,-1
EU-12,regional biomassOil rapeseed,regional biomassOil rapeseed,Rapeseed oil,non-energy,-1,-1
EU-15,regional biomassOil rapeseed,regional biomassOil rapeseed,Rapeseed oil,non-energy,-1,-1
Europe_Non_EU,regional biomassOil rapeseed,regional biomassOil rapeseed,Rapeseed oil,non-energy,-1,-1
Argentina,regional biomassOil soybean,regional biomassOil soybean,Soybean oil,non-energy,-1,-1
