# File: bio_feed_mapping.csv
# Title: Mapping biodiesel feedstocks and techs
# Units: n/a
# Column types: ccccccc
# ----------
Biofuel,sector,subsector,technology,biomassOil_tech,minicam.energy.input,fuel
biodiesel,oilcrop biodiesel,oilcrop biodiesel,oilcrop biodiesel,OilCrop oil,regional biomassOil oilcrop,oilcrop biomass oil
biodiesel,rapeseed biodiesel,rapeseed biodiesel,rapeseed biodiesel,Rapeseed oil,regional biomassOil rapeseed,rapeseed biomass oil
biodiesel,palmfruit biodiesel,palmfruit biodiesel,palmfruit biodiesel,PalmFruit oil,regional biomassOil palmfruit,palmfruit biomass oil
biodiesel,soybean biodiesel,soybean biodiesel,soybean biodiesel,Soybean oil,regional biomassOil soybean,soybean biomass oil
