# File: A22.sector.csv
# Title: Primary energy transformation supplysectors
# Units: N/A
# Description: Energy transformation supplysector units and logit exponents
# Column types: ccccic 
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,logit.type
gas processing,EJ,EJ,1975$/GJ,-6,
nuclearFuelGenII,EJ,EJ,1975$/GJ,-3,
nuclearFuelGenIII,EJ,EJ,1975$/GJ,-3,
refining,EJ,EJ,1975$/GJ,-6,absolute-cost-logit
cellulosic ethanol,EJ,EJ,1975$/GJ,-6,absolute-cost-logit
corn ethanol,EJ,EJ,1975$/GJ,-6,absolute-cost-logit
sugar cane ethanol,EJ,EJ,1975$/GJ,-6,absolute-cost-logit
oilcrop biodiesel,EJ,EJ,1975$/GJ,-6,
palmfruit biodiesel,EJ,EJ,1975$/GJ,-6,
rapeseed biodiesel,EJ,EJ,1975$/GJ,-6,
soybean biodiesel,EJ,EJ,1975$/GJ,-6,
soybean HEFA joint,EJ,EJ,1975$/GJ,-6,
soybean HEFA renewable diesel,EJ,EJ,1975$/GJ,-6,
soybean HEFA jet fuel,EJ,EJ,1975$/GJ,-6,
rapeseed HEFA joint,EJ,EJ,1975$/GJ,-6,
rapeseed HEFA renewable diesel,EJ,EJ,1975$/GJ,-6,
rapeseed HEFA jet fuel,EJ,EJ,1975$/GJ,-6,
palmfruit HEFA joint,EJ,EJ,1975$/GJ,-6,
palmfruit HEFA renewable diesel,EJ,EJ,1975$/GJ,-6,
palmfruit HEFA jet fuel,EJ,EJ,1975$/GJ,-6,
oilcrop HEFA joint,EJ,EJ,1975$/GJ,-6,
oilcrop HEFA renewable diesel,EJ,EJ,1975$/GJ,-6,
oilcrop HEFA jet fuel,EJ,EJ,1975$/GJ,-6,
refined jet,EJ,EJ,1975$/GJ,-6,
corn ETJ joint,EJ,EJ,1975$/GJ,-6,
corn ethanol renewable diesel,EJ,EJ,1975$/GJ,-6,
corn ETJ jet fuel,EJ,EJ,1975$/GJ,-6,
