# File: comtrade_biofuels.csv
# Title: trade of refined liquid biofuel products between countries in 2015
# Source: UN Comtrade database: https://comtrade.un.org/data/
# Units: Indicated in data column names
# Column types: iiciicciinnni
# ----------
Year,Reporter Code,Reporter ISO,Trade Flow Code,Partner Code,Partner ISO,Classification,Commodity Code,Qty Unit Code,Qty,Netweight (kg),Trade Value (US$),Flag
2015,68,BOL,1,32,ARG,H4,220720,7,524,515,6124,0
2015,76,BRA,2,24,AGO,H4,220720,7,120,120,178,0
2015,124,CAN,1,32,ARG,H4,220720,1,0,NA,21364,0
2015,156,CHN,2,24,AGO,H4,220720,7,12009,28738,30253,4
2015,251,FRA,2,24,AGO,H4,220720,7,2241,83,1892,2
2015,268,GEO,1,51,ARM,H4,220720,7,1748,1478,15600,0
2015,276,DEU,2,51,ARM,H4,220720,7,76,73,1264,0
2015,376,ISR,2,24,AGO,H4,220720,7,3553,2850,3000,6
2015,470,MLT,2,51,ARM,H4,220720,7,19256,1478,16260,2
2015,620,PRT,2,24,AGO,H4,220720,7,346047,118031,251926,2
2015,699,IND,2,24,AGO,H4,220720,7,15600,19875,20922,4
2015,710,ZAF,2,24,AGO,H4,220720,7,56,56,27,0
2015,724,ESP,1,32,ARG,H4,220720,7,0,0,1,0
2015,757,CHE,2,24,AGO,H4,220720,7,52,44,5455,0
2015,842,USA,2,28,ATG,H4,220720,7,1590,2873,3024,4
2015,842,USA,2,32,ARG,H4,220720,7,221149,179177,188621,4
2015,858,URY,1,32,ARG,H4,220720,7,48,29,464,0
2015,36,AUS,1,32,ARG,H4,3826,8,4200590,4200590,2402974,0
2015,152,CHL,1,32,ARG,H4,3826,8,200,200,1750,0
2015,251,FRA,2,24,AGO,H4,3826,8,3,3,21,0
2015,392,JPN,2,32,ARG,H4,3826,8,7000,7000,4942,0
2015,516,NAM,2,24,AGO,H4,3826,8,100,100,4089,0
2015,528,NLD,1,24,AGO,H4,3826,8,30,30,26,0
2015,528,NLD,2,24,AGO,H4,3826,8,3303,3303,8767,0
2015,528,NLD,1,28,ATG,H4,3826,8,2,2,1,0
2015,528,NLD,1,32,ARG,H4,3826,8,858,858,798,0
2015,528,NLD,2,32,ARG,H4,3826,8,319,319,1821,0
2015,528,NLD,2,51,ARM,H4,3826,8,4,4,3,0
2015,604,PER,1,32,ARG,H4,3826,8,242211119,242211119,164540877,0
2015,710,ZAF,2,24,AGO,H4,3826,8,2975,2975,5458,0
2015,724,ESP,1,32,ARG,H4,3826,8,18812680,18812680,12871630,0
2015,842,USA,2,24,AGO,H4,3826,8,1279,1279,11943,0
2015,842,USA,3,24,AGO,H4,3826,8,514,514,3999,0
2015,842,USA,1,32,ARG,H4,3826,8,659365440,659365440,501715201,0
2015,858,URY,1,32,ARG,H4,3826,8,54730,54730,76356,0
2015,70,BIH,1,191,HRV,H4,220720,7,19357,16017,17827,2
2015,100,BGR,2,191,HRV,H4,220720,7,138977,115940,101555,0
2015,251,FRA,2,178,COG,H4,220720,7,19444,16342,16418,2
2015,251,FRA,2,191,HRV,H4,220720,7,325567,337985,274911,2
2015,251,FRA,2,384,CIV,H4,220720,7,2707829,2571470,2286510,2
2015,276,DEU,2,191,HRV,H4,220720,7,13210,11343,17705,0
2015,300,GRC,2,191,HRV,H4,220720,7,4,4,73,0
2015,348,HUN,1,191,HRV,H4,220720,7,30199,27179,12305,0
2015,348,HUN,2,191,HRV,H4,220720,7,1081188,973069,729878,0
2015,381,ITA,2,191,HRV,H4,220720,7,28776,22778,20410,0
2015,422,LBN,2,178,COG,H4,220720,7,145,36,106,2
2015,528,NLD,1,188,CRI,H4,220720,7,7,6,5,0
2015,528,NLD,1,191,HRV,H4,220720,7,1468,1321,1269,0
2015,528,NLD,2,191,HRV,H4,220720,7,3422,3083,2964,0
2015,528,NLD,2,384,CIV,H4,220720,7,180,162,219,0
2015,558,NIC,2,188,CRI,H4,220720,7,326,10,275,2
2015,586,PAK,2,384,CIV,H4,220720,7,94985,50879,53561,4
2015,686,SEN,2,384,CIV,H4,220720,7,203741,176000,172040,2
2015,705,SVN,1,191,HRV,H4,220720,7,123507,99018,90496,0
2015,705,SVN,2,191,HRV,H4,220720,7,497703,405629,370299,0
2015,710,ZAF,2,178,COG,H4,220720,7,1,1,5,0
2015,826,GBR,2,384,CIV,H4,220720,7,10944,10944,58553,0
2015,842,USA,2,188,CRI,H4,220720,7,50510,30422,32025,4
2015,854,BFA,1,384,CIV,H4,220720,7,53,475,49,2
2015,24,AGO,2,178,COG,H4,3826,1,0,NA,4585,6
2015,40,AUT,2,191,HRV,H4,3826,8,4018360,4018360,3549789,0
2015,70,BIH,1,191,HRV,H4,3826,8,80062,80062,61489,0
2015,100,BGR,2,191,HRV,H4,3826,8,1255612,1255612,1182658,0
2015,251,FRA,2,384,CIV,H4,3826,8,6000,6000,9418,0
2015,348,HUN,1,191,HRV,H4,3826,8,161033,161033,171255,0
2015,348,HUN,2,191,HRV,H4,3826,8,988200,988200,930617,0
2015,381,ITA,2,191,HRV,H4,3826,8,1893020,1893020,1656541,0
2015,528,NLD,2,178,COG,H4,3826,8,21,21,19,0
