# File: A21.subsector_logit.csv
# Title: Primary energy handling default subsector logit exponents
# Units: Unitless
# Column types: cciic 
# ----------
supplysector,subsector,logit.exponent,traded,logit.type
regional biomass,regional biomass,-6,0,
regional corn for ethanol,regional corn for ethanol,-6,0,
regional sugar for ethanol,regional sugar for ethanol,-6,0,
regional biomassOil oilcrop,regional biomassOil oilcrop,-3,0,
regional biomassOil palmfruit,regional biomassOil palmfruit,-3,0,
regional biomassOil rapeseed,regional biomassOil rapeseed,-3,0,
regional biomassOil soybean,regional biomassOil soybean,-3,0,
