# File: A261.globaltech_shrwt.csv
# Title: motor gasoline technology share-weights
# Units: Unitless
# Column types: cccnnnn
# ----------
supplysector,subsector,technology,1971,2015,2020,2100
refined liquids gasoline pool,refining,refining,1,1,1,1
refined liquids gasoline pool,ethanol,cellulosic ethanol,0,0,0,0
refined liquids gasoline pool,ethanol,corn ethanol,0,0,1,1
refined liquids gasoline pool,ethanol,sugar cane ethanol,0,0,1,1
