# File: A21.subsector_shrwt.csv
# Title: Primary energy handling default subsector shareweights
# Units: Unitless
# Column types: ccccii 
# ----------
supplysector,subsector,year.fillout,year,share.weight,traded
regional biomass,regional biomass,start-year,,1,0
regional corn for ethanol,regional corn for ethanol,start-year,,1,0
regional sugar for ethanol,regional sugar for ethanol,start-year,,1,0
regional biomassOil oilcrop,regional biomassOil oilcrop,start-year,,1,0
regional biomassOil palmfruit,regional biomassOil palmfruit,start-year,,1,0
regional biomassOil rapeseed,regional biomassOil rapeseed,start-year,,1,0
regional biomassOil soybean,regional biomassOil soybean,start-year,,1,0
