# File: FAO_ag_items_TRADE.csv
# Title: FAO_ag_items_TRADE
# Unit: Unitless
# Description: Maps FAO crops to item codes, GCAM commodities and crop names in other trade-related databases. Differentiated from PRODSTAT mapping files b/c TRADESTAT includes both crop and animal products in same datasets.
# Sources: FAO and other databases
# Column types: icccc
# ----------
item.code,GCAM_commodity,prod_commod,pp_commod,bitrade_commod
15,Wheat,Wheat,Wheat,Wheat
16,Wheat,NA,NA,"Flour, wheat"
17,Wheat,NA,NA,"Bran, wheat"
18,Wheat,NA,NA,Macaroni
20,Wheat,NA,NA,Bread
21,Wheat,NA,NA,Bulgur
22,Wheat,NA,NA,Pastry
27,Rice,"Rice, paddy","Rice, paddy",NA
30,Rice,NA,NA,Rice - total  (Rice milled equivalent)
36,Rice,NA,NA,"Oil, rice bran"
37,Rice,NA,NA,"Cake, rice bran"
41,Wheat,NA,NA,"Cereals, breakfast"
44,OtherGrain,Barley,Barley,Barley
46,OtherGrain,NA,NA,"Barley, pearled"
49,OtherGrain,NA,NA,Malt
56,Corn,Maize,Maize,Maize
57,Corn,NA,NA,"Germ, maize"
58,Corn,NA,NA,"Flour, maize"
59,Corn,NA,NA,"Bran, maize"
60,Corn,"Oil, maize",NA,"Oil, maize"
61,Corn,NA,NA,"Cake, maize"
68,OtherGrain,NA,Popcorn,Popcorn
71,OtherGrain,Rye,Rye,Rye
75,OtherGrain,Oats,Oats,Oats
76,OtherGrain,NA,NA,Oats rolled
79,OtherGrain,Millet,Millet,Millet
81,OtherGrain,NA,NA,"Bran, millet"
83,OtherGrain,Sorghum,Sorghum,Sorghum
85,OtherGrain,NA,NA,"Bran, sorghum"
89,OtherGrain,Buckwheat,Buckwheat,Buckwheat
91,OtherGrain,NA,NA,"Bran, buckwheat"
92,OtherGrain,Quinoa,Quinoa,NA
94,OtherGrain,Fonio,Fonio,Fonio
95,OtherGrain,NA,NA,"Flour, fonio"
96,OtherGrain,NA,NA,"Bran, fonio"
97,OtherGrain,Triticale,Triticale,Triticale
101,OtherGrain,Canary seed,Canary seed,Canary seed
103,OtherGrain,"Grain, mixed","Grain, mixed","Grain, mixed"
104,OtherGrain,NA,NA,"Flour, mixed grain"
108,OtherGrain,"Cereals, nes","Cereals, nes",NA
110,Wheat,NA,NA,Wafers
111,OtherGrain,NA,NA,"Flour, cereals"
113,OtherGrain,NA,NA,"Cereal preparations, nes"
114,Wheat,NA,NA,Mixes and doughs
115,Wheat,NA,NA,"Food preparations, flour, malt extract"
116,RootTuber,Potatoes,Potatoes,Potatoes
117,RootTuber,NA,NA,"Flour, potatoes"
118,RootTuber,NA,NA,"Potatoes, frozen"
120,RootTuber,NA,NA,Potato offals
122,RootTuber,Sweet potatoes,Sweet potatoes,Sweet potatoes
125,RootTuber,Cassava,Cassava,Cassava
128,RootTuber,NA,NA,Cassava dried
129,RootTuber,NA,NA,"Starch, cassava"
135,RootTuber,Yautia (cocoyam),Yautia (cocoyam),NA
136,RootTuber,Taro (cocoyam),Taro (cocoyam),NA
137,RootTuber,Yams,Yams,NA
149,RootTuber,"Roots and tubers, nes","Roots and tubers, nes","Roots and tubers, nes"
150,RootTuber,NA,NA,"Flour, roots and tubers nes"
156,SugarCrop,Sugar cane,Sugar cane,NA
157,SugarCrop,Sugar beet,Sugar beet,Sugar beet
162,SugarCrop,Sugar Raw Centrifugal,NA,Sugar Raw Centrifugal
163,SugarCrop,NA,NA,Sugar non-centrifugal
164,SugarCrop,NA,NA,Sugar refined
165,SugarCrop,Molasses,NA,Molasses
166,SugarCrop,NA,NA,"Fructose and syrup, other"
168,SugarCrop,NA,NA,Sugar confectionery
169,Vegetables,NA,NA,Beet pulp
171,SugarCrop,NA,NA,Sugar flavoured
172,SugarCrop,NA,NA,Glucose and dextrose
176,Legumes,"Beans, dry","Beans, dry","Beans, dry"
181,Vegetables,"Broad beans, horse beans, dry","Broad beans, horse beans, dry","Broad beans, horse beans, dry"
187,Legumes,"Peas, dry","Peas, dry","Peas, dry"
191,Legumes,Chick peas,Chick peas,Chick peas
195,Legumes,"Cow peas, dry","Cow peas, dry",NA
197,Legumes,Pigeon peas,Pigeon peas,NA
201,Legumes,Lentils,Lentils,Lentils
203,Legumes,Bambara beans,Bambara beans,Bambara beans
205,FodderHerb,Vetches,Vetches,Vetches
210,Legumes,Lupins,Lupins,NA
211,Legumes,"Pulses, nes","Pulses, nes",NA
212,Legumes,NA,NA,"Flour, pulses"
216,NutsSeeds,"Brazil nuts, with shell","Brazil nuts, with shell",NA
217,NutsSeeds,"Cashew nuts, with shell","Cashew nuts, with shell","Cashew nuts, with shell"
220,NutsSeeds,Chestnut,Chestnut,Chestnut
221,NutsSeeds,"Almonds, with shell","Almonds, with shell",NA
222,NutsSeeds,"Walnuts, with shell","Walnuts, with shell","Walnuts, with shell"
223,NutsSeeds,Pistachios,Pistachios,Pistachios
224,NutsSeeds,Kola nuts,Kola nuts,Kola nuts
225,NutsSeeds,"Hazelnuts, with shell","Hazelnuts, with shell",NA
226,NutsSeeds,Areca nuts,Areca nuts,NA
229,NutsSeeds,NA,NA,"Brazil nuts, shelled"
230,NutsSeeds,NA,NA,"Cashew nuts, shelled"
231,NutsSeeds,NA,NA,Almonds shelled
232,NutsSeeds,NA,NA,"Walnuts, shelled"
233,NutsSeeds,NA,NA,"Hazelnuts, shelled"
234,NutsSeeds,"Nuts, nes","Nuts, nes","Nuts, nes"
235,NutsSeeds,NA,NA,"Nuts, prepared (exc. groundnuts)"
236,Soybean,Soybeans,Soybeans,Soybeans
237,Soybean oil,"Oil, soybean",NA,"Oil, soybean"
238,Soybean feedcake,NA,NA,"Cake, soybeans"
239,Soybean,NA,NA,Soya sauce
240,Soybean,NA,NA,Soya paste
241,Soybean,NA,NA,Soya curd
242,NutsSeeds,"Groundnuts, with shell","Groundnuts, with shell",NA
243,NutsSeeds,NA,NA,"Groundnuts, shelled"
244,NutsSeeds,"Oil, groundnut",NA,"Oil, groundnut"
245,NutsSeeds,NA,NA,"Cake, groundnuts"
247,NutsSeeds,NA,NA,Peanut butter
249,MiscCrop,Coconuts,Coconuts,Coconuts
250,MiscCrop,NA,NA,"Coconuts, desiccated"
251,MiscCrop,NA,NA,Copra
252,MiscCrop,"Oil, coconut (copra)",NA,"Oil, coconut (copra)"
254,PalmFruit,"Oil, palm fruit",Oil palm fruit,NA
256,PalmFruit,Palm kernels,Palm kernels,NA
257,PalmFruit oil,"Oil, palm","Oil, palm","Oil, palm"
258,PalmFruit oil,"Oil, palm kernel",NA,"Oil, palm kernel"
259,PalmFruit feedcake,NA,NA,"Cake, palm kernel"
260,OilCrop,Olives,Olives,Olives
261,OilCrop oil,"Oil, olive, virgin",NA,"Oil, olive, virgin"
262,OilCrop,NA,NA,Olives preserved
263,OilCrop,Karite nuts (sheanuts),Karite nuts (sheanuts),NA
