# File: A_agTradedSector.csv
# Title: Supplysector assumptions for traded agricultural markets (including logit exponent for subsector competition)
# Units: Various
# Comments: These sectors compete different regions in supplying the pool of globally traded crops (source: GTAP)
# Source: NA
# Column types: ccccinc
# ----------
supplysector,output.unit,input.unit,price.unit,traded,logit.exponent,logit.type
traded corn,Mt,Mt,1975$/kg,1,-6,
traded fibercrop,Mt,Mt,1975$/kg,1,-6,
traded fruits,Mt,Mt,1975$/kg,1,-6,
traded legumes,Mt,Mt,1975$/kg,1,-6,
traded misccrop,Mt,Mt,1975$/kg,1,-6,
traded nuts_seeds,Mt,Mt,1975$/kg,1,-6,
traded oilcrop,Mt,Mt,1975$/kg,1,-6,
traded oilcrop feedcake,Mt,Mt,1975$/kg,1,-6,
traded oilcrop oil,Mt,Mt,1975$/kg,1,-6,
traded othergrain,Mt,Mt,1975$/kg,1,-6,
traded palmfruit,Mt,Mt,1975$/kg,1,-6,
traded palmfruit feedcake,Mt,Mt,1975$/kg,1,-6,
traded palmfruit oil,Mt,Mt,1975$/kg,1,-6,
traded rapeseed,Mt,Mt,1975$/kg,1,-6,
traded rapeseed feedcake,Mt,Mt,1975$/kg,1,-6,
traded rapeseed oil,Mt,Mt,1975$/kg,1,-6,
traded rice,Mt,Mt,1975$/kg,1,-6,
traded root_tuber,Mt,Mt,1975$/kg,1,-6,
traded soybean,Mt,Mt,1975$/kg,1,-6,
traded soybean feedcake,Mt,Mt,1975$/kg,1,-6,
traded soybean oil,Mt,Mt,1975$/kg,1,-6,
traded sugarcrop,Mt,Mt,1975$/kg,1,-6,
traded vegetables,Mt,Mt,1975$/kg,1,-6,
traded wheat,Mt,Mt,1975$/kg,1,-6,
traded beef,Mt,Mt,1975$/kg,1,-7.7,
traded dairy,Mt,Mt,1975$/kg,1,-7.3,
traded pork,Mt,Mt,1975$/kg,1,-8.8,
traded poultry,Mt,Mt,1975$/kg,1,-8.8,
traded sheepgoat,Mt,Mt,1975$/kg,1,-7.7,
traded DDGS,Mt,Mt,1975$/kg,1,-6,
traded forest,billion m3,billion m3,1975$/m3,1,-5,
