# File: A_demand_subsector.csv
# Title: Subsectors of agricultural production
# Unit: NA
# Description: Generic information for subsectors of agricultural production
# Source: GCAM assumptions
# Column types: ccciciccccc 
# ----------
supplysector,subsector0,subsector,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function,logit.type
FoodDemand_NonStaples,BlendVegOil,BlendVegOil,-3,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,FiberCrop,FiberCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,FruitsVeg,Fruits,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,FruitsVeg,Vegetables,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,MiscCrop,MiscCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,OilCrop,OilCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,PalmFruit,PalmFruit,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Protein,Animal,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Protein,Plant,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,Rapeseed,Rapeseed,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_NonStaples,SugarCrop,SugarCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_Staples,Corn,Corn,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_Staples,OtherGrain,OtherGrain,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_Staples,Rice,Rice,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_Staples,RootTuber,RootTuber,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
FoodDemand_Staples,Wheat,Wheat,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Corn,Corn,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,FiberCrop,FiberCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,FodderGrass,FodderGrass,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,FodderHerb,FodderHerb,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Fruits,Fruits,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Legumes,Legumes,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,MiscCrop,MiscCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,NutsSeeds,NutsSeeds,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,OilCrop,OilCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
