# File: A_Crushing_subsector.csv
# Title: Subsectors of inputs to animal production
# Units: Various
# Source: NA
# Column types: cciciccccc 
# ----------
supplysector,subsector,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function,logit.type
OilCrop oil,OilCrop oil,-6,initial-future-year,1,share-weight,initial-future-year,end-year,fixed,
PalmFruit oil,PalmFruit oil,-6,initial-future-year,1,share-weight,initial-future-year,end-year,fixed,
Rapeseed oil,Rapeseed oil,-6,initial-future-year,1,share-weight,initial-future-year,end-year,fixed,
Soybean oil,Soybean oil,-6,initial-future-year,1,share-weight,initial-future-year,end-year,fixed,
