# File: A_agTradedTechnology.csv
# Title: Technology-level assumptions of traded agricultural markets
# Units: Various
# Comments: for traded crops, each subsector has only one technology; there is no technology-level competition
# Source: NA
# Column types: ccccnnni
# ----------
supplysector,subsector,technology,minicam.energy.input,coefficient,input.cost,share.weight,traded
traded corn,traded corn,traded corn,Corn,1,0,1,1
traded fibercrop,traded fibercrop,traded fibercrop,FiberCrop,1,0,1,1
traded fruits,traded fruits,traded fruits,Fruits,1,0,1,1
traded legumes,traded legumes,traded legumes,Legumes,1,0,1,1
traded misccrop,traded misccrop,traded misccrop,MiscCrop,1,0,1,1
traded nuts_seeds,traded nuts_seeds,traded nuts_seeds,NutsSeeds,1,0,1,1
traded oilcrop,traded oilcrop,traded oilcrop,OilCrop,1,0,1,1
traded oilcrop feedcake,traded oilcrop feedcake,traded oilcrop feedcake,OilCrop feedcake,1,0,1,1
traded oilcrop oil,traded oilcrop oil,traded oilcrop oil,OilCrop oil,1,0,1,1
traded othergrain,traded othergrain,traded othergrain,OtherGrain,1,0,1,1
traded palmfruit,traded palmfruit,traded palmfruit,PalmFruit,1,0,1,1
traded palmfruit feedcake,traded palmfruit feedcake,traded palmfruit feedcake,PalmFruit feedcake,1,0,1,1
traded palmfruit oil,traded palmfruit oil,traded palmfruit oil,PalmFruit oil,1,0,1,1
traded rapeseed,traded rapeseed,traded rapeseed,Rapeseed,1,0,1,1
traded rapeseed feedcake,traded rapeseed feedcake,traded rapeseed feedcake,Rapeseed feedcake,1,0,1,1
traded rapeseed oil,traded rapeseed oil,traded rapeseed oil,Rapeseed oil,1,0,1,1
traded rice,traded rice,traded rice,Rice,1,0,1,1
traded root_tuber,traded root_tuber,traded root_tuber,RootTuber,1,0,1,1
traded soybean,traded soybean,traded soybean,Soybean,1,0,1,1
traded soybean feedcake,traded soybean feedcake,traded soybean feedcake,Soybean feedcake,1,0,1,1
traded soybean oil,traded soybean oil,traded soybean oil,Soybean oil,1,0,1,1
traded sugarcrop,traded sugarcrop,traded sugarcrop,SugarCrop,1,0,1,1
traded vegetables,traded vegetables,traded vegetables,Vegetables,1,0,1,1
traded wheat,traded wheat,traded wheat,Wheat,1,0,1,1
traded beef,traded beef,traded beef,Beef,1,0,1,1
traded dairy,traded dairy,traded dairy,Dairy,1,0,1,1
traded pork,traded pork,traded pork,Pork,1,0,1,1
traded poultry,traded poultry,traded poultry,Poultry,1,0,1,1
traded sheepgoat,traded sheepgoat,traded sheepgoat,SheepGoat,1,0,1,1
traded DDGS,traded DDGS,traded DDGS,DDGS,1,0,1,1
traded forest,traded forest,traded forest,Forest,1,0,1,1
