# File: DDG_trade.csv
# Title: Computes DDG trade for total feed balances
# Units: Various
# Source: NA
# Column types: ncnn
# ----------
GCAM_region_ID,GCAM_commodity,year,NetImp_Mt
1,DDGS,2010,-6.528061326
2,DDGS,2010,0.000213053
3,DDGS,2010,0.201113473
4,DDGS,2010,4.96E-05
5,DDGS,2010,0.000606821
6,DDGS,2010,-0.001563087
7,DDGS,2010,0.000100106
8,DDGS,2010,0.371859863
9,DDGS,2010,0.353020406
10,DDGS,2010,0.00058019
11,DDGS,2010,1.564395115
12,DDGS,2010,-0.107375547
13,DDGS,2010,0.349942876
14,DDGS,2010,0.007643284
15,DDGS,2010,0.361858039
16,DDGS,2010,0.010878966
17,DDGS,2010,-0.000211319
18,DDGS,2010,0.183969918
19,DDGS,2010,0.308071507
20,DDGS,2010,1.409930167
21,DDGS,2010,0.15716345
22,DDGS,2010,1.97E-05
23,DDGS,2010,0.031297896
24,DDGS,2010,0.000636687
25,DDGS,2010,0.002615609
26,DDGS,2010,0.069963116
27,DDGS,2010,0.004982401
28,DDGS,2010,0.470510306
29,DDGS,2010,0.709326587
31,DDGS,2010,-0.000880366
32,DDGS,2010,0.067342503
