# File: A_demand_technology.csv
# Title: Technologies and inputs of agricultural production
# Unit: NA
# Description: Generic information of technologies and inputs of agricultural production
# Source: GCAM assumptions
# Column types: cccccccccn
# ----------
supplysector,subsector0,subsector,technology,apply.to,from.year,to.year,interpolation.function,minicam.energy.input,coefficient
FoodDemand_NonStaples,BlendVegOil,BlendVegOil,OilCrop oil,share-weight,final-calibration-year,end-year,fixed,regional oilcrop oil,1
FoodDemand_NonStaples,BlendVegOil,BlendVegOil,PalmFruit oil,share-weight,final-calibration-year,end-year,fixed,regional palmfruit oil,1
FoodDemand_NonStaples,BlendVegOil,BlendVegOil,Rapeseed oil,share-weight,final-calibration-year,end-year,fixed,regional rapeseed oil,1
FoodDemand_NonStaples,BlendVegOil,BlendVegOil,Soybean oil,share-weight,final-calibration-year,end-year,fixed,regional soybean oil,1
FoodDemand_NonStaples,OilCrop,OilCrop,OilCrop,share-weight,final-calibration-year,end-year,fixed,regional oilcrop,1
FoodDemand_NonStaples,PalmFruit,PalmFruit,PalmFruit,share-weight,final-calibration-year,end-year,fixed,regional palmfruit,1
FoodDemand_NonStaples,Rapeseed,Rapeseed,Rapeseed,share-weight,final-calibration-year,end-year,fixed,regional rapeseed,1
FoodDemand_NonStaples,Protein,Plant,Soybean,share-weight,final-calibration-year,end-year,fixed,regional soybean,1
FoodDemand_Staples,Corn,Corn,Corn,share-weight,final-calibration-year,end-year,fixed,regional corn,1
FoodDemand_NonStaples,FiberCrop,FiberCrop,FiberCrop,share-weight,final-calibration-year,end-year,fixed,regional fibercrop,1
FoodDemand_NonStaples,FruitsVeg,Fruits,Fruits,share-weight,final-calibration-year,end-year,fixed,regional fruits,1
FoodDemand_NonStaples,Protein,Plant,Legumes,share-weight,final-calibration-year,end-year,fixed,regional legumes,1
FoodDemand_NonStaples,MiscCrop,MiscCrop,MiscCrop,share-weight,final-calibration-year,end-year,fixed,regional misccrop,1
FoodDemand_NonStaples,Protein,Plant,NutsSeeds,share-weight,final-calibration-year,end-year,fixed,regional nuts_seeds,1
FoodDemand_Staples,OtherGrain,OtherGrain,OtherGrain,share-weight,final-calibration-year,end-year,fixed,regional othergrain,1
FoodDemand_Staples,Rice,Rice,Rice,share-weight,final-calibration-year,end-year,fixed,regional rice,1
